supplier_id,name,lead_time_mean,lead_time_std,defect_rate,late_shipments_rate,financial_score,risk_label_numeric
S0066,Supplier N,15.42,2.8,0.034,0.13,0.533,0.36
S0067,Supplier O,9.71,3.03,0.046,0.171,0.843,0.231
S0068,Supplier P,14.01,4.61,0.076,0.12,0.417,0.393
S0069,Supplier Q,11.45,2.98,0.043,0.176,0.733,0.282
S0070,Supplier R,7.42,3.29,0.092,0.124,0.502,0.31
S0071,Supplier S,11.45,1.82,0.139,0.097,0.401,0.389
S0072,Supplier T,16.15,2.78,0.115,0.09,0.922,0.267
S0073,Supplier U,9.86,3.61,0.103,0.115,0.803,0.245
S0074,Supplier V,16.26,1.44,0.092,0.025,0.459,0.372
S0075,Supplier W,2.0,3.2,0.078,0.174,0.798,0.181
S0076,Supplier X,13.29,3.1,0.036,0.214,0.767,0.303
S0077,Supplier Y,10.35,3.04,0.135,0.102,0.684,0.293
S0078,Supplier Z,8.8,4.04,0.045,0.031,0.652,0.223
S0079,Supplier A,10.37,3.33,0.023,0.247,0.932,0.232
S0080,Supplier B,2.05,4.48,0.115,0.081,0.547,0.235
S0081,Supplier C,9.12,2.01,0.035,0.049,0.639,0.233
S0082,Supplier D,11.43,3.14,0.062,0.105,0.597,0.302
S0083,Supplier E,15.91,3.08,0.014,0.19,0.863,0.282
S0084,Supplier F,7.93,1.93,0.029,0.088,0.95,0.141
S0085,Supplier G,6.77,3.96,0.034,0.152,0.91,0.169
S0086,Supplier H,7.99,5.32,0.018,0.116,0.879,0.17
S0087,Supplier I,13.66,2.98,0.102,0.047,0.992,0.199
S0088,Supplier J,11.32,3.51,0.127,0.096,0.818,0.257
S0089,Supplier K,7.88,3.08,0.062,0.187,0.851,0.223
S0090,Supplier L,12.05,2.29,0.132,0.161,0.99,0.241
S0091,Supplier M,10.39,1.18,0.04,0.048,0.404,0.318
S0092,Supplier N,13.87,2.29,0.056,0.058,0.78,0.25
S0093,Supplier O,7.19,1.61,0.031,0.167,0.843,0.198
S0094,Supplier P,8.69,4.7,0.097,0.207,0.951,0.223
S0095,Supplier Q,8.43,2.88,0.069,0.1,0.93,0.173
S0096,Supplier R,4.15,2.65,0.096,0.157,0.905,0.171
S0097,Supplier S,11.18,3.89,0.117,0.059,0.967,0.192
S0098,Supplier T,11.04,1.88,0.086,0.092,0.722,0.265
S0099,Supplier U,10.02,2.23,0.098,0.025,0.404,0.328
S0100,Supplier V,9.06,3.07,0.141,0.197,0.407,0.404
S0101,Supplier W,4.34,4.03,0.052,0.112,0.727,0.191
S0102,Supplier X,8.32,3.5,0.06,0.208,0.661,0.292
S0103,Supplier Y,8.63,3.25,0.11,0.183,0.671,0.302
S0104,Supplier Z,6.79,3.08,0.096,0.211,0.64,0.298
S0105,Supplier A,9.35,3.4,0.035,0.086,0.951,0.157
S0106,Supplier B,11.62,3.2,0.063,0.063,0.616,0.282
S0107,Supplier C,17.54,1.97,0.075,0.244,0.914,0.329
S0108,Supplier D,10.7,3.05,0.069,0.185,0.942,0.226
S0109,Supplier E,11.03,1.93,0.035,0.212,0.7,0.299
S0110,Supplier F,9.7,3.08,0.139,0.023,0.668,0.262
S0111,Supplier G,2.32,2.52,0.117,0.102,0.857,0.154
S0112,Supplier H,9.89,5.54,0.077,0.191,0.825,0.259
S0113,Supplier I,10.24,2.96,0.105,0.038,0.597,0.281
S0114,Supplier J,19.85,1.6,0.136,0.15,0.462,0.475
S0115,Supplier K,9.23,2.87,0.029,0.119,0.559,0.284
S0116,Supplier L,11.21,3.52,0.045,0.024,0.479,0.296
S0117,Supplier M,9.86,4.67,0.086,0.074,0.577,0.29
S0118,Supplier N,5.33,2.41,0.122,0.086,0.557,0.269
S0119,Supplier O,14.57,1.42,0.015,0.046,0.783,0.235
S0120,Supplier P,13.01,3.82,0.148,0.165,0.973,0.263
S0121,Supplier Q,13.16,1.62,0.074,0.076,0.811,0.248
S0122,Supplier R,6.36,2.56,0.06,0.084,0.956,0.134
S0123,Supplier S,15.61,2.74,0.051,0.227,0.87,0.306
S0124,Supplier T,4.39,2.93,0.034,0.127,0.837,0.158
S0125,Supplier U,12.35,3.69,0.121,0.11,0.648,0.321
S0126,Supplier V,18.76,2.32,0.144,0.186,0.595,0.441
S0127,Supplier W,6.04,2.73,0.068,0.229,0.908,0.207
S0128,Supplier X,7.73,2.99,0.143,0.026,0.943,0.162
S0129,Supplier Y,10.4,3.15,0.125,0.123,0.671,0.302
S0130,Supplier Z,7.99,3.1,0.077,0.16,0.405,0.353
S0131,Supplier A,3.8,3.44,0.104,0.093,0.876,0.154
S0132,Supplier B,10.27,3.84,0.071,0.198,0.571,0.339
S0133,Supplier C,5.75,3.39,0.088,0.243,0.406,0.368
S0134,Supplier D,11.89,3.45,0.018,0.237,0.883,0.256
S0135,Supplier E,6.32,1.42,0.107,0.081,0.71,0.226
S0136,Supplier F,16.2,3.05,0.017,0.072,0.811,0.254
S0137,Supplier G,6.87,3.48,0.124,0.24,0.949,0.23
S0138,Supplier H,8.71,3.73,0.125,0.125,0.725,0.27
S0139,Supplier I,13.25,2.31,0.043,0.068,0.702,0.266
S0140,Supplier J,5.08,2.34,0.055,0.183,0.574,0.274
S0141,Supplier K,10.91,2.43,0.077,0.085,0.583,0.299
S0142,Supplier L,15.23,3.54,0.094,0.081,0.878,0.259
S0143,Supplier M,3.57,4.03,0.05,0.222,0.669,0.244
S0144,Supplier N,10.74,2.59,0.093,0.057,0.498,0.318
S0145,Supplier O,11.04,3.91,0.052,0.035,0.457,0.308
S0146,Supplier P,13.13,3.12,0.018,0.082,0.684,0.266
S0147,Supplier Q,5.05,2.88,0.01,0.16,0.679,0.215
S0148,Supplier R,4.72,2.79,0.024,0.048,0.792,0.139
S0149,Supplier S,12.09,3.75,0.121,0.128,0.683,0.316
S0150,Supplier T,11.19,3.33,0.145,0.164,0.486,0.39
S0151,Supplier U,11.0,5.28,0.07,0.215,0.705,0.313
S0152,Supplier V,11.39,2.15,0.082,0.073,0.944,0.192
S0153,Supplier W,7.28,3.52,0.031,0.208,0.496,0.32
S0154,Supplier X,10.93,2.47,0.087,0.074,0.814,0.23
S0155,Supplier Y,11.17,2.13,0.03,0.176,0.756,0.267
S0156,Supplier Z,7.14,2.99,0.096,0.119,0.849,0.203
S0157,Supplier A,17.46,3.14,0.141,0.046,0.49,0.402
S0158,Supplier B,11.9,5.92,0.037,0.184,0.965,0.218
S0159,Supplier C,5.23,2.82,0.117,0.07,0.773,0.195
S0160,Supplier D,12.63,1.87,0.013,0.061,0.908,0.183
S0161,Supplier E,6.1,3.27,0.063,0.102,0.548,0.263
S0162,Supplier F,13.15,0.93,0.026,0.17,0.844,0.257
S0163,Supplier G,14.63,2.91,0.059,0.074,0.869,0.239
S0164,Supplier H,6.72,3.02,0.034,0.062,0.638,0.214
S0165,Supplier I,13.85,3.79,0.062,0.022,0.63,0.283
S0166,Supplier J,11.65,3.97,0.068,0.128,0.795,0.257
S0167,Supplier K,13.29,2.5,0.052,0.119,0.456,0.364
S0168,Supplier L,17.59,2.85,0.102,0.074,0.841,0.294
S0169,Supplier M,9.02,2.23,0.139,0.032,0.426,0.331
S0170,Supplier N,6.99,1.87,0.066,0.119,0.514,0.289
S0171,Supplier O,6.44,3.31,0.037,0.201,0.798,0.22
S0172,Supplier P,6.74,1.73,0.048,0.185,0.459,0.323
S0173,Supplier Q,9.69,2.59,0.13,0.218,0.983,0.241
S0174,Supplier R,11.36,2.0,0.09,0.022,0.921,0.182
S0175,Supplier S,11.11,3.55,0.074,0.242,0.776,0.305
S0176,Supplier T,13.31,4.8,0.031,0.099,0.891,0.217
S0177,Supplier U,10.05,1.7,0.073,0.248,0.933,0.249
S0178,Supplier V,15.81,1.15,0.049,0.078,0.556,0.342
S0179,Supplier W,8.94,2.88,0.142,0.128,0.91,0.225
S0180,Supplier X,20.88,3.02,0.134,0.101,0.517,0.448
S0181,Supplier Y,12.5,3.22,0.022,0.102,0.648,0.28
S0182,Supplier Z,6.57,2.55,0.082,0.214,0.735,0.264
S0183,Supplier A,5.72,2.8,0.042,0.192,0.828,0.202
S0184,Supplier B,11.93,3.37,0.068,0.248,0.418,0.42
S0185,Supplier C,9.11,4.04,0.133,0.161,0.574,0.336
S0186,Supplier D,12.86,1.04,0.084,0.127,0.765,0.283
S0187,Supplier E,11.89,2.63,0.057,0.041,0.614,0.274
S0188,Supplier F,9.71,3.21,0.039,0.249,0.865,0.253
S0189,Supplier G,6.61,2.08,0.122,0.147,0.791,0.236
S0190,Supplier H,3.94,4.73,0.097,0.181,0.541,0.289
S0191,Supplier I,8.21,2.36,0.076,0.114,0.488,0.312
S0192,Supplier J,13.43,2.96,0.04,0.146,0.777,0.276
S0193,Supplier K,10.86,3.56,0.057,0.237,0.67,0.325
S0194,Supplier L,5.02,2.41,0.144,0.058,0.501,0.281
S0195,Supplier M,10.69,1.15,0.083,0.087,0.596,0.296
S0196,Supplier N,11.54,2.57,0.066,0.055,0.582,0.289
S0197,Supplier O,6.46,4.03,0.083,0.202,0.465,0.339
S0198,Supplier P,10.61,2.66,0.119,0.034,0.728,0.249
S0199,Supplier Q,10.23,2.15,0.058,0.039,0.858,0.183
S0200,Supplier R,5.43,3.93,0.035,0.089,0.745,0.18
S0201,Supplier S,11.43,2.67,0.092,0.138,0.896,0.238
S0202,Supplier T,12.24,2.49,0.103,0.113,0.477,0.366
S0203,Supplier U,14.33,3.15,0.11,0.03,0.661,0.301
S0204,Supplier V,14.22,3.77,0.133,0.24,0.766,0.362
S0205,Supplier W,4.49,5.38,0.062,0.239,0.806,0.224
S0206,Supplier X,6.25,3.83,0.021,0.084,0.817,0.159
S0207,Supplier Y,12.06,4.16,0.144,0.188,0.837,0.302
S0208,Supplier Z,12.06,2.49,0.071,0.153,0.791,0.273
S0209,Supplier A,12.06,1.97,0.097,0.075,0.457,0.352
S0210,Supplier B,25.41,3.06,0.103,0.08,0.817,0.382
S0211,Supplier C,12.28,3.11,0.087,0.133,0.835,0.26
S0212,Supplier D,14.54,1.92,0.039,0.116,0.996,0.209
S0213,Supplier E,13.82,2.82,0.116,0.087,0.816,0.274
S0214,Supplier F,12.61,3.4,0.123,0.206,0.812,0.314
S0215,Supplier G,8.74,3.36,0.087,0.131,0.709,0.262
S0216,Supplier H,13.04,3.5,0.078,0.171,0.921,0.254
S0217,Supplier I,6.91,3.29,0.026,0.064,0.998,0.105
S0218,Supplier J,9.05,2.49,0.022,0.143,0.867,0.196
S0219,Supplier K,8.06,2.49,0.058,0.093,0.768,0.211
S0220,Supplier L,10.33,1.8,0.054,0.141,0.447,0.347
S0221,Supplier M,19.26,4.78,0.144,0.2,0.836,0.379
S0222,Supplier N,2.53,3.01,0.12,0.197,0.825,0.204
S0223,Supplier O,12.75,2.78,0.102,0.101,0.865,0.249
S0224,Supplier P,3.55,2.07,0.082,0.18,0.475,0.298
S0225,Supplier Q,8.11,5.94,0.033,0.236,0.792,0.251
S0226,Supplier R,14.36,1.93,0.147,0.164,0.577,0.395
S0227,Supplier S,10.26,2.57,0.063,0.054,0.856,0.192
S0228,Supplier T,5.69,3.42,0.025,0.176,0.544,0.274
S0229,Supplier U,7.14,3.6,0.079,0.044,0.81,0.178
S0230,Supplier V,12.72,3.96,0.132,0.221,0.577,0.395
S0231,Supplier W,7.08,4.81,0.134,0.139,0.405,0.358
S0232,Supplier X,10.87,3.51,0.012,0.109,0.78,0.223
S0233,Supplier Y,10.18,1.94,0.134,0.033,0.468,0.328
S0234,Supplier Z,7.39,2.74,0.048,0.108,0.796,0.197
S0235,Supplier A,18.58,3.31,0.015,0.228,0.955,0.296
S0236,Supplier B,12.54,5.07,0.129,0.025,0.982,0.192
S0237,Supplier C,2.0,1.6,0.131,0.129,0.542,0.262
S0238,Supplier D,10.75,4.2,0.093,0.234,0.886,0.273
S0239,Supplier E,7.35,3.18,0.09,0.111,0.612,0.27
S0240,Supplier F,13.41,3.84,0.124,0.118,0.94,0.249
S0241,Supplier G,6.83,2.9,0.12,0.153,0.872,0.216
S0242,Supplier H,9.54,2.16,0.135,0.126,0.444,0.367
S0243,Supplier I,12.02,3.75,0.087,0.059,0.644,0.285
S0244,Supplier J,13.46,3.65,0.145,0.024,0.602,0.322
S0245,Supplier K,5.2,3.97,0.149,0.16,0.871,0.215
S0246,Supplier L,8.66,2.99,0.026,0.232,0.646,0.296
S0247,Supplier M,8.1,2.4,0.129,0.044,0.811,0.207
S0248,Supplier N,7.39,1.44,0.08,0.069,0.761,0.205
S0249,Supplier O,17.06,3.82,0.064,0.105,0.985,0.243
S0250,Supplier P,11.62,3.42,0.096,0.206,0.963,0.248
S0251,Supplier Q,4.96,2.03,0.018,0.082,0.657,0.192
S0252,Supplier R,13.67,2.46,0.081,0.223,0.834,0.308
S0253,Supplier S,18.49,2.53,0.132,0.033,0.898,0.281
S0254,Supplier T,14.13,1.52,0.04,0.236,0.939,0.27
S0255,Supplier U,3.92,2.18,0.07,0.149,0.441,0.294
S0256,Supplier V,8.06,1.87,0.142,0.172,0.581,0.331
S0257,Supplier W,15.07,2.59,0.07,0.105,0.592,0.343
S0258,Supplier X,7.17,2.26,0.06,0.2,0.661,0.278
S0259,Supplier Y,11.78,1.37,0.072,0.058,0.502,0.319
S0260,Supplier Z,13.1,5.02,0.083,0.031,0.698,0.267
S0261,Supplier A,6.29,4.25,0.098,0.111,0.798,0.207
S0262,Supplier B,9.76,2.22,0.122,0.216,0.698,0.323
S0263,Supplier C,2.0,3.27,0.073,0.194,0.799,0.187
S0264,Supplier D,5.9,3.42,0.124,0.139,0.44,0.332
S0265,Supplier E,8.99,4.19,0.085,0.152,0.926,0.207
S0266,Supplier F,5.01,2.18,0.057,0.05,0.963,0.104
S0267,Supplier G,16.53,4.09,0.102,0.213,0.771,0.36
S0268,Supplier H,4.28,2.45,0.11,0.201,0.929,0.189
S0269,Supplier I,8.24,1.66,0.088,0.171,0.479,0.342
S0270,Supplier J,10.52,3.72,0.018,0.127,0.878,0.2
S0271,Supplier K,15.77,4.29,0.034,0.242,0.471,0.426
S0272,Supplier L,4.26,5.59,0.05,0.222,0.645,0.258
S0273,Supplier M,14.65,1.8,0.05,0.168,0.594,0.355
S0274,Supplier N,10.04,3.7,0.104,0.106,0.751,0.259
S0275,Supplier O,6.07,2.59,0.013,0.162,0.581,0.256
S0276,Supplier P,11.85,3.78,0.116,0.152,0.782,0.291
S0277,Supplier Q,10.8,1.53,0.047,0.111,0.62,0.285
S0278,Supplier R,7.6,1.74,0.053,0.091,0.916,0.159
S0279,Supplier S,10.28,2.22,0.084,0.114,0.78,0.248
S0280,Supplier T,8.46,3.08,0.04,0.152,0.529,0.303
S0281,Supplier U,10.45,2.36,0.134,0.118,0.602,0.325
S0282,Supplier V,12.65,3.66,0.022,0.081,0.908,0.195
S0283,Supplier W,16.34,4.03,0.072,0.195,0.632,0.381
S0284,Supplier X,5.05,3.6,0.129,0.142,0.721,0.243
S0285,Supplier Y,18.53,4.62,0.096,0.036,0.789,0.301
S0286,Supplier Z,2.19,3.42,0.051,0.105,0.609,0.202
S0287,Supplier A,9.39,1.78,0.069,0.224,0.576,0.338
S0288,Supplier B,12.35,4.36,0.109,0.194,0.685,0.339
S0289,Supplier C,11.12,2.39,0.146,0.094,0.529,0.349
S0290,Supplier D,7.51,3.91,0.135,0.236,0.571,0.352
S0291,Supplier E,9.17,4.57,0.058,0.038,0.437,0.299
S0292,Supplier F,8.03,3.46,0.15,0.241,0.582,0.362
S0293,Supplier G,7.64,1.5,0.01,0.077,0.592,0.233
S0294,Supplier H,13.4,2.08,0.014,0.022,0.977,0.155
S0295,Supplier I,11.43,4.32,0.125,0.12,0.754,0.286
S0296,Supplier J,7.23,2.83,0.038,0.103,0.872,0.167
S0297,Supplier K,13.6,3.08,0.019,0.144,0.427,0.373
S0298,Supplier L,11.23,3.76,0.043,0.203,0.464,0.372
S0299,Supplier M,13.25,3.7,0.07,0.214,0.889,0.279
S0300,Supplier N,12.52,3.28,0.112,0.112,0.774,0.283
S0301,Supplier O,6.68,2.79,0.097,0.119,0.515,0.299
S0302,Supplier P,7.76,2.69,0.043,0.054,0.643,0.224
S0303,Supplier Q,12.99,3.86,0.08,0.031,0.723,0.257
S0304,Supplier R,12.44,3.55,0.14,0.167,0.906,0.275
S0305,Supplier S,9.92,2.74,0.124,0.035,0.436,0.332
S0306,Supplier T,10.47,4.08,0.055,0.189,0.758,0.275
S0307,Supplier U,15.11,2.87,0.148,0.144,0.83,0.319
S0308,Supplier V,7.63,2.15,0.109,0.066,0.987,0.15
S0309,Supplier W,12.19,2.24,0.019,0.144,0.884,0.222
S0310,Supplier X,9.19,2.02,0.015,0.062,0.566,0.253
S0311,Supplier Y,9.13,2.73,0.034,0.121,0.826,0.205
S0312,Supplier Z,14.4,4.23,0.112,0.204,0.858,0.313
S0313,Supplier A,13.3,2.19,0.036,0.126,0.838,0.246
S0314,Supplier B,13.25,3.19,0.082,0.054,0.892,0.219
S0315,Supplier C,15.22,2.34,0.023,0.186,0.942,0.253
S0316,Supplier D,10.08,2.74,0.139,0.063,0.459,0.344
S0317,Supplier E,12.73,1.49,0.058,0.19,0.463,0.388
S0318,Supplier F,8.76,2.78,0.137,0.13,0.878,0.231
S0319,Supplier G,11.3,2.81,0.142,0.124,0.551,0.354
S0320,Supplier H,9.48,3.54,0.011,0.216,0.435,0.355
S0321,Supplier I,10.39,3.22,0.075,0.183,0.641,0.315
S0322,Supplier J,12.38,1.8,0.013,0.028,0.892,0.173
S0323,Supplier K,6.73,4.08,0.137,0.088,0.476,0.315
S0324,Supplier L,18.37,3.21,0.083,0.22,0.803,0.364
S0325,Supplier M,5.98,3.2,0.02,0.024,0.402,0.257
S0326,Supplier N,5.14,2.99,0.025,0.145,0.466,0.28
S0327,Supplier O,14.63,2.48,0.064,0.187,0.611,0.364
S0328,Supplier P,13.17,3.22,0.142,0.163,0.45,0.418
S0329,Supplier Q,12.5,3.48,0.107,0.195,0.908,0.273
S0330,Supplier R,12.51,1.25,0.131,0.187,0.918,0.277
S0331,Supplier S,9.95,2.46,0.061,0.179,0.853,0.24
S0332,Supplier T,6.41,2.75,0.016,0.209,0.545,0.29
S0333,Supplier U,10.3,3.26,0.146,0.169,0.714,0.315
S0334,Supplier V,7.29,4.19,0.012,0.113,0.511,0.27
S0335,Supplier W,13.9,2.23,0.143,0.129,0.569,0.377
S0336,Supplier X,9.41,2.5,0.062,0.185,0.71,0.28
S0337,Supplier Y,6.7,2.49,0.011,0.222,0.841,0.208
S0338,Supplier Z,8.71,2.2,0.106,0.083,0.457,0.326
S0339,Supplier A,11.65,2.65,0.147,0.099,0.578,0.341
S0340,Supplier B,7.75,3.77,0.145,0.234,0.956,0.242
S0341,Supplier C,6.71,1.95,0.033,0.153,0.657,0.244
S0342,Supplier D,10.97,3.43,0.035,0.061,0.963,0.159
S0343,Supplier E,10.98,1.3,0.089,0.173,0.995,0.216
S0344,Supplier F,7.97,2.44,0.099,0.248,0.716,0.304
S0345,Supplier G,8.12,2.67,0.114,0.209,0.573,0.338
S0346,Supplier H,10.93,4.67,0.035,0.192,0.874,0.238
S0347,Supplier I,4.21,2.73,0.144,0.068,0.496,0.278
S0348,Supplier J,4.37,0.8,0.099,0.222,0.551,0.307
S0349,Supplier K,7.13,1.0,0.129,0.141,0.871,0.218
S0350,Supplier L,9.15,3.03,0.086,0.225,0.66,0.317
S0351,Supplier M,11.24,3.61,0.068,0.096,0.521,0.322
S0352,Supplier N,15.9,3.38,0.147,0.034,0.791,0.294
S0353,Supplier O,13.43,3.17,0.091,0.129,0.84,0.271
S0354,Supplier P,9.36,4.16,0.131,0.082,0.475,0.336
S0355,Supplier Q,9.92,2.46,0.143,0.185,0.566,0.361
S0356,Supplier R,5.99,3.89,0.105,0.24,0.533,0.338
S0357,Supplier S,9.93,1.37,0.087,0.179,0.628,0.317
S0358,Supplier T,8.85,2.1,0.01,0.224,0.858,0.225
S0359,Supplier U,11.29,1.19,0.016,0.124,0.828,0.22
S0360,Supplier V,6.69,2.73,0.038,0.197,0.798,0.222
S0361,Supplier W,12.08,2.95,0.036,0.214,0.404,0.4
S0362,Supplier X,16.13,3.11,0.046,0.184,0.485,0.407
S0363,Supplier Y,9.56,3.06,0.053,0.137,0.534,0.311
S0364,Supplier Z,11.61,2.07,0.06,0.164,0.563,0.337
S0365,Supplier A,12.76,2.81,0.069,0.181,0.488,0.381
S0366,Supplier B,8.4,1.5,0.024,0.078,0.646,0.231
S0367,Supplier C,10.9,4.36,0.016,0.206,0.445,0.364
S0368,Supplier D,10.05,2.7,0.104,0.239,0.85,0.283
S0369,Supplier E,10.39,2.51,0.085,0.127,0.873,0.227
S0370,Supplier F,6.91,4.59,0.072,0.181,0.745,0.247
S0371,Supplier G,10.1,1.76,0.099,0.19,0.454,0.38
S0372,Supplier H,11.99,1.87,0.126,0.172,0.934,0.259
S0373,Supplier I,15.8,1.9,0.07,0.146,0.979,0.251
S0374,Supplier J,13.84,2.93,0.1,0.223,0.521,0.411
S0375,Supplier K,18.61,3.43,0.144,0.123,0.823,0.346
S0376,Supplier L,6.93,3.74,0.128,0.034,0.905,0.162
S0377,Supplier M,13.49,5.57,0.07,0.214,0.724,0.331
S0378,Supplier N,10.73,0.75,0.1,0.175,0.594,0.339
S0379,Supplier O,18.76,3.61,0.035,0.215,0.687,0.381
S0380,Supplier P,6.77,2.44,0.088,0.052,0.707,0.212
S0381,Supplier Q,6.64,2.41,0.147,0.027,0.64,0.244
S0382,Supplier R,7.6,2.38,0.083,0.235,0.958,0.216
S0383,Supplier S,2.0,2.09,0.14,0.054,0.846,0.144
S0384,Supplier T,7.9,4.68,0.067,0.206,0.545,0.325
S0385,Supplier U,6.96,3.84,0.15,0.209,0.751,0.288
S0386,Supplier V,10.6,3.02,0.091,0.183,0.813,0.272
S0387,Supplier W,11.37,4.35,0.016,0.05,0.484,0.295
S0388,Supplier X,17.5,1.49,0.092,0.174,0.615,0.397
S0389,Supplier Y,13.8,1.67,0.048,0.224,0.943,0.264
S0390,Supplier Z,7.69,0.82,0.015,0.118,0.74,0.208
S0391,Supplier A,6.41,2.3,0.125,0.115,0.53,0.301
S0392,Supplier B,11.97,3.16,0.049,0.122,0.474,0.346
S0393,Supplier C,4.72,3.1,0.122,0.039,0.711,0.198
S0394,Supplier D,17.33,3.15,0.05,0.225,0.729,0.365
S0395,Supplier E,14.72,1.59,0.037,0.22,0.601,0.37
S0396,Supplier F,8.12,3.8,0.146,0.25,0.778,0.306
S0397,Supplier G,3.15,3.24,0.061,0.155,0.441,0.285
S0398,Supplier H,15.42,3.73,0.094,0.193,0.487,0.423
S0399,Supplier I,9.54,1.11,0.095,0.067,0.728,0.242
S0400,Supplier J,14.95,3.31,0.088,0.174,0.437,0.423
S0401,Supplier K,3.62,1.81,0.138,0.169,0.929,0.181
S0402,Supplier L,7.6,2.6,0.104,0.227,0.485,0.363
S0403,Supplier M,10.02,3.53,0.067,0.211,0.804,0.27
S0404,Supplier N,10.19,3.09,0.131,0.236,0.635,0.358
S0405,Supplier O,8.2,2.15,0.035,0.22,0.64,0.292
S0406,Supplier P,12.49,3.01,0.086,0.22,0.859,0.29
S0407,Supplier Q,5.73,1.47,0.143,0.035,0.7,0.218
